2002-11-14,12.6250,12.6250,11.9000,11.9250,360432
2002-11-15,12.0000,12.1250,11.4500,11.5000,1008472
2002-11-18,12.2500,12.2500,11.2250,11.4250,736548
2002-11-20,11.7250,11.8000,11.3750,11.4250,607722
2002-11-21,11.4000,11.5500,11.0750,11.1250,628456
2002-11-22,10.9000,11.4750,10.9000,11.2250,437828
2002-11-25,11.2750,11.7500,11.2500,11.5750,789156
2002-11-26,11.7500,12.1750,11.7250,12.0250,892540
2002-11-27,12.1000,12.1250,11.8500,11.9750,442204
2002-11-28,12.1250,12.2000,12.0250,12.0750,278122
2002-11-29,12.1250,12.6250,11.6250,12.4750,1196204
2002-12-02,12.6250,12.9500,12.5000,12.6750,528292
2002-12-03,12.9250,12.9250,12.4000,12.5250,476642
2002-12-04,12.4250,12.4250,12.1000,12.1750,175400
2002-12-05,12.4000,12.4000,12.0250,12.0750,293298
2002-12-06,12.4000,12.4250,12.0000,12.0250,380290
2002-12-09,12.0750,12.2000,11.7500,11.8250,276218
2002-12-10,12.2250,12.2250,11.7750,11.9500,208750
2002-12-11,12.0000,12.2250,11.7750,11.8750,186520
2002-12-12,12.0000,12.0000,11.3000,11.4250,590982
2002-12-13,11.5000,11.6000,11.0250,11.1250,574212
2002-12-16,11.4500,11.6250,11.3750,11.5000,446068
2002-12-17,11.4500,11.8500,11.4500,11.6750,583202
2002-12-18,12.3500,12.6250,11.9500,12.5500,1627274
2002-12-19,12.5500,13.1000,12.5000,12.8250,1491970
2002-12-20,12.9500,12.9500,12.2500,12.3750,692084
2002-12-23,12.4000,12.4000,11.6250,11.8500,400394
2002-12-24,12.6250,12.6250,11.5500,12.0000,606884
2002-12-26,12.1250,12.1500,11.6250,11.7250,633528
2002-12-27,11.9500,12.0000,11.0250,11.2500,1488230
2002-12-30,11.3750,11.6500,11.2500,11.3250,860256
2002-12-31,11.4250,11.5000,11.2500,11.4000,683544
2003-01-01,11.6750,11.6750,11.2750,11.3250,168186
2003-01-02,11.5000,11.6250,11.2500,11.3250,549350
2003-01-03,11.6000,12.0000,11.2500,11.2750,534944
2003-01-06,11.3750,11.5000,11.0500,11.1000,268588
2003-01-07,11.0750,11.2000,11.0250,11.0500,336942
2003-01-08,11.4250,11.4250,10.7750,10.8250,387482
2003-01-09,10.5500,11.0000,10.5500,10.7500,353976
2003-01-10,10.7750,10.8000,10.3250,10.3750,451528
2003-01-13,10.5750,10.8750,10.5000,10.6750,742968
2003-01-14,10.8500,10.9500,10.5500,10.6250,1357802
2003-01-15,10.6250,10.9750,10.6250,10.8500,603360
2003-01-16,10.7250,10.8250,10.4000,10.6500,494752
2003-01-17,10.9750,10.9750,10.5000,10.7000,273414
2003-01-20,10.8750,12.5000,10.7000,12.4500,6228632
2003-01-21,12.7250,13.6250,11.7000,12.1500,6268236
2003-01-22,11.9750,12.8500,11.9750,12.5500,1475994
2003-01-23,12.7500,12.7500,12.0500,12.1250,606698
2003-01-24,11.7000,12.1500,11.7000,11.9500,767964
2003-01-27,12.1750,13.2000,12.1750,12.6500,2861212
2003-01-28,12.9750,13.6000,12.7500,13.4750,2236162
2003-01-29,13.7500,14.9000,13.7500,14.5250,4535268
2003-01-30,14.5000,15.0000,14.0000,14.2500,1392028
2003-01-31,15.5500,15.5500,13.6000,13.9000,810200
2003-02-03,13.7500,15.7500,13.7500,15.3250,1747600
2003-02-04,15.7500,15.7500,14.5750,14.7750,1291198
2003-02-05,15.4750,15.8250,14.5000,14.5500,600604
2003-02-06,14.7500,14.8000,14.4750,14.6750,322702
2003-02-07,14.8000,14.8500,14.2500,14.3250,359148
2003-02-10,14.3250,15.4000,14.3250,14.9250,1725186
